author,href,mark,rating_nums,title
龙应台 ,https://book.douban.com/subject/4207781/,我们现在怎样做母亲,8.8,孩子你慢慢来
[美] 哈珀·李 ,https://book.douban.com/subject/6781808/,有一种东西不能遵循从众原则，那就是——人的良心,9.2,杀死一只知更鸟
[美] 欧·亨利 ,https://book.douban.com/subject/1051193/,日常的奇迹,8.6,麦琪的礼物
[英]毛姆 ,https://book.douban.com/subject/2035162/,一把刀的锋刃不容易越过；因此智者说得救之道是困难的,9.0,刀锋
[法国] 儒尔·凡尔纳 ,https://book.douban.com/subject/1085470/,你听说过鹦鹉螺号吗？,8.4,海底两万里
蒋勋 ,https://book.douban.com/subject/4124727/,作为一种美学的孤独,8.1,孤独六讲
桐华 ,https://book.douban.com/subject/1812439/,现世太苦，不如穿越回去从头来过,8.1,步步惊心
幾米 ,https://book.douban.com/subject/1358873/,月明星稀的晚上，看不见的，看见了,8.6,月亮忘記了
江南 ,https://book.douban.com/subject/1020459/,象牙塔里的金庸群侠,8.4,此间的少年
（美）鲁思・本尼迪克特 ,https://book.douban.com/subject/1022238/,复杂矛盾的日本民族,8.2,菊与刀
[美]莉兹•克里莫 ,https://book.douban.com/subject/26602392/,呆萌可爱的动物段子手,8.7,你今天真好看
阿来 ,https://book.douban.com/subject/1080309/,一个傻子的土司家族传奇,8.4,尘埃落定
[美] 海莲·汉芙 ,https://book.douban.com/subject/1316648/,文艺青年的爱情地标,8.3,查令十字街84号
刘慈欣 ,https://book.douban.com/subject/3266609/,刘慈欣获中国科幻银河奖的中短篇小说集,8.6,流浪地球
刘慈欣 ,https://book.douban.com/subject/1192090/,量子之外，没有真相,8.7,球状闪电
桐华 ,https://book.douban.com/subject/4231381/,所有你曾热爱却正在遗忘的人和事,8.4,那些回不去的年少时光
[澳] 考琳·麦卡洛 ,https://book.douban.com/subject/1086249/,澳洲乱世情,8.6,荆棘鸟
张爱玲 ,https://book.douban.com/subject/3017857/,曹七巧就像希克厉，一个扭曲的英雄,8.5,金锁记
